,distance,travel_time,is_express,is_superexpress,is_bus,is_airplane,transfer_times,pass_stations
396,258.1,99.0,False,True,False,False,0,5
397,132.2,96.0,False,True,True,False,3,15
398,108.0,59.0,False,True,True,False,1,13
399,121.0,54.0,False,True,False,False,1,3
400,158.7,127.0,False,True,False,False,3,18
401,137.1,130.0,False,True,False,False,1,13
402,208.5,109.0,False,True,False,False,1,11
403,150.3,137.0,False,True,True,False,3,23
404,270.5,135.0,False,True,False,False,1,8
405,195.2,101.0,False,True,False,False,1,7
406,230.6,117.0,False,True,False,False,2,4
407,205.9,148.0,False,True,True,False,2,23
408,157.7,197.0,False,True,False,False,2,14
409,277.2,128.0,False,True,False,False,1,10
410,167.4,136.0,True,True,False,False,1,10
411,135.2,133.0,False,True,True,False,2,36
412,278.2,145.0,False,True,False,False,1,10
413,141.4,115.0,False,True,False,False,2,17
414,253.8,155.0,False,True,True,False,2,49
415,226.4,136.0,False,True,True,False,2,20
416,133.1,103.0,False,True,False,False,2,11
417,217.0,134.0,True,True,True,False,1,13
418,377.0,146.0,False,True,True,False,2,7
419,295.1,101.0,False,True,False,False,0,3
420,329.2,182.0,True,True,True,False,2,20
421,385.5,144.0,False,True,True,False,2,8
422,396.2,158.0,False,True,False,False,2,14
423,399.9,169.0,False,True,False,False,2,13
424,388.4,154.0,False,True,True,False,2,17
425,311.0,213.0,True,True,False,False,3,4
426,384.2,160.0,False,True,False,False,1,13
427,403.6,198.0,False,True,False,False,2,13
428,392.0,149.0,False,True,False,False,2,7
429,398.9,167.0,False,True,False,False,2,23
430,399.2,150.0,False,True,False,False,1,8
431,413.7,219.0,True,True,False,False,2,17
432,311.4,124.0,False,True,False,False,1,8
433,394.5,157.0,False,True,False,False,1,12
434,402.9,177.0,True,True,False,False,1,10
435,386.1,149.0,False,True,False,False,1,9
436,385.2,163.0,False,True,True,False,2,18
437,379.1,148.0,False,True,False,False,1,6
438,315.8,176.0,False,True,False,False,1,12
439,386.1,148.0,True,True,False,False,1,7
440,386.0,141.0,False,True,False,False,1,11
441,388.7,148.0,True,True,False,False,1,8
442,392.5,166.0,True,True,False,False,1,6
443,387.3,175.0,False,True,False,False,2,16
444,398.9,166.0,False,True,False,False,2,11
445,380.4,153.0,False,True,False,False,1,7
446,386.3,164.0,False,True,False,False,1,10
447,382.8,160.0,False,True,False,False,2,15
448,312.3,147.0,False,True,False,False,1,18
449,381.3,172.0,False,True,False,False,1,7
450,375.9,148.0,False,True,False,False,1,5
451,375.7,137.0,False,True,False,False,1,6
452,392.1,181.0,False,True,True,False,2,16
453,389.1,187.0,False,True,True,False,3,27
454,374.2,144.0,False,True,False,False,1,7
455,382.1,168.0,False,True,False,False,2,17
456,544.9,194.0,False,True,False,False,2,9
457,403.6,165.0,False,True,False,False,1,8
458,472.5,201.0,True,True,False,False,1,10
459,454.3,206.0,True,True,False,False,2,9
460,390.4,153.0,False,True,False,False,1,6
461,418.4,174.0,False,True,False,False,2,12
462,487.8,224.0,True,True,False,False,2,11
463,544.0,313.0,True,True,False,False,1,12
464,426.3,176.0,False,True,False,False,1,11
465,486.7,224.0,True,True,False,False,1,13
466,574.5,292.0,True,True,False,False,1,13
467,423.6,234.0,False,True,False,False,2,19
468,505.1,274.0,True,True,False,False,1,14
469,491.2,253.0,True,True,False,False,3,18
470,528.6,177.0,False,True,False,False,2,12
471,452.3,162.0,False,True,False,False,2,5
472,454.8,199.0,True,True,False,False,1,8
473,475.8,197.0,False,True,False,False,2,12
474,536.4,180.0,False,True,False,False,1,9
475,543.4,202.0,False,True,True,False,2,22
476,540.4,191.0,False,True,False,False,2,9
477,559.3,220.0,False,True,True,False,3,19
478,486.6,218.0,False,True,False,False,2,14
479,548.9,201.0,False,True,False,False,2,12
480,493.0,234.0,False,True,False,False,2,17
481,484.6,217.0,False,True,False,False,3,18
482,460.0,203.0,False,True,False,False,2,7
483,517.2,163.0,False,True,False,False,2,7
484,603.6,273.0,True,True,False,False,2,9
485,617.5,279.0,True,True,False,False,2,13
486,590.4,233.0,True,True,False,False,1,8
487,531.8,179.0,False,True,True,False,2,15
488,694.5,370.0,False,True,True,False,2,7
489,532.1,184.0,False,True,False,False,1,13
490,535.9,195.0,False,True,False,False,1,8
491,521.4,173.0,False,True,False,False,1,7
492,530.1,201.0,True,True,False,False,2,8
493,529.5,182.0,True,True,False,False,2,8
494,534.4,197.0,True,True,False,False,2,13
495,713.6,326.0,False,True,True,False,1,13
497,548.5,252.0,False,True,False,False,2,15
498,564.2,204.0,False,True,False,False,2,14
499,572.4,206.0,False,True,False,False,2,15
500,589.3,237.0,False,True,False,False,2,24
501,563.0,200.0,False,True,False,False,2,9
502,537.7,188.0,False,False,False,True,4,5
503,557.5,185.0,False,True,False,False,1,7
504,581.5,223.0,False,True,True,False,3,19
505,535.2,172.0,False,True,False,False,1,4
506,713.1,206.0,False,False,False,True,4,5
507,565.7,196.0,False,True,False,False,2,13
508,539.1,189.0,True,True,False,False,2,7
509,541.0,183.0,False,True,False,False,2,7
510,574.8,208.0,False,True,False,False,2,12
511,595.4,234.0,True,True,False,False,2,17
512,594.5,278.0,False,True,True,False,4,28
513,545.9,196.0,True,True,False,False,2,9
514,593.3,262.0,False,True,True,False,3,24
515,574.6,215.0,False,True,False,False,2,15
516,570.1,193.0,False,True,False,False,2,11
517,585.1,233.0,False,True,False,False,2,22
518,566.1,216.0,False,True,True,False,2,17
519,580.0,226.0,False,True,False,False,3,20
520,583.1,232.0,False,True,False,False,2,15
521,567.5,201.0,False,True,False,False,3,15
522,544.9,194.0,False,True,False,False,2,9
523,580.9,231.0,False,True,False,False,2,19
524,578.0,216.0,False,True,False,False,2,17
525,573.7,224.0,False,True,False,False,3,15
526,613.6,266.0,True,True,False,False,2,12
527,577.9,238.0,False,True,True,False,3,20
528,543.5,201.0,True,True,False,False,3,15
529,581.3,219.0,False,True,False,False,2,18
530,730.6,342.0,False,False,True,True,6,35
531,597.1,198.0,False,True,False,False,1,13
532,645.9,215.0,False,True,False,False,1,8
533,568.2,200.0,False,True,False,False,1,9
534,616.8,209.0,False,True,False,False,2,7
535,572.2,198.0,True,True,False,False,2,7
536,664.6,295.0,False,True,True,False,2,25
537,576.2,197.0,False,True,False,False,1,9
538,538.6,175.0,False,False,True,True,3,11
539,666.6,224.0,False,True,False,False,1,9
540,671.8,305.0,True,True,False,False,1,14
541,629.1,216.0,False,True,False,False,2,12
542,679.0,250.0,False,True,True,False,2,22
543,620.9,251.0,False,True,True,False,1,16
544,545.0,211.0,False,False,False,True,4,10
545,620.9,253.0,False,True,False,False,3,24
546,633.7,241.0,False,True,False,False,2,13
547,556.1,256.0,False,False,False,True,6,21
548,627.0,254.0,False,True,True,False,1,25
549,602.1,229.0,True,True,True,False,3,11
550,672.1,277.0,False,True,True,False,1,66
551,635.9,312.0,True,True,True,False,3,37
552,651.7,320.0,True,True,True,False,2,27
553,634.4,320.0,True,True,True,False,3,26
554,677.5,293.0,False,True,True,False,2,12
555,634.3,289.0,True,True,False,False,1,10
556,651.8,270.0,False,True,True,False,3,20
557,675.5,294.0,False,True,True,False,3,54
558,618.1,262.0,False,True,True,False,2,13
559,662.2,259.0,False,True,True,False,1,41
560,553.9,203.0,True,True,False,False,1,7
561,577.3,244.0,True,True,False,False,3,17
562,557.0,210.0,True,True,False,False,2,11
563,570.2,276.0,True,True,False,False,2,10
564,574.4,254.0,True,True,False,False,2,13
565,574.5,227.0,True,True,False,False,3,11
566,601.0,301.0,True,True,False,False,3,16
567,602.0,251.0,False,True,False,False,3,20
568,555.3,198.0,True,True,False,False,2,10
569,589.5,232.0,False,True,False,False,4,18
570,581.8,244.0,True,True,False,False,3,21
571,584.5,235.0,True,True,False,False,3,15
572,624.4,247.0,True,True,False,False,2,21
573,641.4,267.0,True,True,False,False,1,10
574,605.4,286.0,False,True,False,False,2,25
575,654.8,260.0,True,True,False,False,1,11
576,690.2,353.0,True,True,False,False,2,18
577,676.0,243.0,False,False,True,True,4,50
578,749.7,351.0,False,False,True,True,4,28
579,622.4,291.0,True,True,True,False,3,25
580,642.9,267.0,True,True,False,False,2,15
581,697.5,186.0,False,False,True,True,3,8
582,811.3,195.0,False,False,True,True,3,7
583,869.6,278.0,True,False,True,True,5,19
584,801.1,191.0,False,False,False,True,3,7
585,821.8,236.0,False,False,True,True,4,9
586,964.6,384.0,False,False,True,True,4,15
587,852.5,266.0,True,False,True,True,4,5
588,1072.8,394.0,False,False,True,True,5,31
589,943.4,344.0,False,False,True,True,5,19
590,824.0,245.0,True,False,True,True,5,13
591,983.5,422.0,False,False,True,True,5,21
592,850.1,325.0,False,False,True,True,5,10
593,742.4,249.0,False,True,True,False,1,32
594,748.8,232.0,False,True,False,False,1,11
595,802.0,354.0,False,True,False,False,2,25
596,759.3,281.0,False,True,False,False,2,13
597,777.8,261.0,False,True,False,False,2,11
598,931.3,305.0,False,True,False,False,1,22
599,760.3,249.0,False,True,False,False,1,13
600,783.4,272.0,False,True,False,False,1,18
601,815.2,304.0,True,True,False,False,1,10
602,767.2,292.0,False,True,False,False,1,18
603,761.4,278.0,False,True,True,False,2,31
604,752.6,282.0,False,True,True,False,1,44
605,804.3,318.0,False,False,True,True,4,21
606,778.7,392.0,False,False,True,True,4,105
607,768.2,240.0,False,True,False,False,2,9
608,899.3,283.0,False,True,False,False,1,23
609,922.7,308.0,False,True,True,False,2,17
610,836.8,259.0,False,False,True,True,4,8
611,845.7,387.0,False,False,True,True,5,16
612,812.7,259.0,False,True,True,False,2,15
613,795.6,245.0,False,True,True,False,1,19
614,32.7,53.0,True,False,False,False,1,9
615,964.6,368.0,False,True,False,False,1,29
616,997.0,382.0,False,True,True,False,1,20
617,928.2,318.0,False,True,False,False,1,20
618,953.9,354.0,False,True,False,False,2,22
619,912.1,281.0,False,True,False,False,2,15
620,939.5,369.0,False,True,True,False,2,88
621,912.5,362.0,False,True,False,False,2,25
622,1155.1,292.0,False,True,True,True,5,14
623,960.4,201.0,False,False,True,True,3,6
624,991.6,266.0,False,False,True,True,4,28
625,1032.8,356.0,False,False,True,True,4,64
626,998.9,281.0,False,False,True,True,4,7
627,993.5,333.0,False,True,False,False,2,12
628,764.7,205.0,False,False,True,True,4,7
629,20.2,42.0,False,False,False,False,1,14
630,1032.2,349.0,False,False,True,True,4,8
631,1019.6,339.0,False,True,False,False,2,17
632,1003.9,317.0,False,False,True,True,4,32
633,984.5,294.0,False,True,False,False,1,10
634,967.7,256.0,False,False,True,True,4,14
635,739.2,225.0,False,False,True,True,4,11
636,731.0,177.0,False,False,True,True,3,10
637,749.6,239.0,False,False,True,True,4,17
638,763.4,269.0,False,False,True,True,4,23
639,758.6,263.0,False,False,True,True,4,58
640,839.5,347.0,True,False,True,True,5,17
642,812.1,362.0,True,False,True,True,5,13
643,746.9,203.0,False,False,True,True,3,10
644,765.5,253.0,False,False,True,True,3,10
645,758.6,240.0,False,False,True,True,3,8
646,763.4,268.0,False,False,True,True,3,9
647,792.7,278.0,True,False,True,True,4,12
648,765.6,297.0,False,False,True,True,4,27
649,790.9,290.0,True,False,True,True,5,26
650,783.1,301.0,False,False,True,True,4,16
651,887.3,198.0,False,False,True,True,3,6
652,854.8,371.0,False,True,True,False,2,18
653,982.9,298.0,True,False,True,True,4,9
654,948.8,269.0,True,False,True,True,4,6
655,840.8,328.0,True,False,True,True,4,15
656,850.7,320.0,True,False,True,True,4,16
657,935.4,247.0,True,False,True,True,5,9
658,896.5,206.0,True,False,True,True,4,2
659,804.7,293.0,False,False,True,True,3,11
661,904.1,262.0,False,False,True,True,4,40
662,861.9,222.0,False,False,True,True,4,16
663,942.6,414.0,False,False,True,True,6,89
664,903.6,326.0,False,False,True,True,4,34
665,867.9,325.0,False,False,True,True,5,50
666,922.0,365.0,False,False,True,True,5,64
667,907.7,269.0,True,False,True,True,4,18
668,1006.0,390.0,True,False,True,True,5,31
669,1014.2,395.0,True,False,True,True,5,80
670,981.4,342.0,True,False,True,True,4,24
671,882.5,303.0,False,False,True,True,4,23
672,891.8,293.0,False,False,True,True,5,51
673,1137.9,292.0,False,True,False,True,5,15
674,1068.5,240.0,False,False,False,True,3,11
675,1175.9,329.0,False,False,True,True,4,27
676,1105.2,289.0,False,False,False,True,4,21
677,1113.1,331.0,False,False,False,True,4,20
678,1099.9,305.0,False,False,False,True,4,21
679,1143.9,374.0,False,True,False,False,2,24
680,1128.3,351.0,False,False,True,True,5,27
682,1119.1,302.0,False,True,False,True,4,7
683,1132.8,332.0,False,False,True,True,5,37
684,1162.6,362.0,True,True,False,True,5,8
685,1178.8,334.0,True,True,False,True,5,9
686,1155.1,330.0,True,True,False,True,6,21
687,1095.9,292.0,False,False,False,True,5,22
688,1086.1,269.0,False,False,False,True,4,17
689,1074.4,270.0,False,False,True,True,5,17
690,1081.1,291.0,False,False,False,True,5,14
691,1094.4,292.0,False,False,False,True,4,16
692,1082.2,272.0,False,False,False,True,5,15
693,1083.3,262.0,False,False,False,True,4,13
694,1090.8,286.0,False,False,True,True,5,21
695,1151.4,349.0,False,False,True,True,4,23
696,1100.8,361.0,False,False,True,True,4,61
697,1114.0,372.0,False,False,True,True,6,51
698,1106.5,269.0,False,False,True,True,3,12
699,1124.0,332.0,True,False,False,True,5,12
700,1088.1,270.0,False,False,False,True,3,25
701,1077.5,264.0,True,False,True,True,5,19
702,1116.9,312.0,False,False,True,True,4,17
703,1116.4,319.0,False,False,False,True,4,36
704,1094.6,272.0,False,True,False,True,4,4
705,1140.8,326.0,True,False,False,True,5,13
706,1140.1,386.0,False,False,False,True,5,41
707,1146.6,317.0,True,False,False,True,4,13
708,115.1,127.0,False,False,True,False,0,5
709,1130.2,304.0,True,False,False,True,5,10
710,1157.6,359.0,True,False,True,True,5,31
711,1109.3,297.0,True,False,False,True,5,9
712,1204.7,271.0,False,False,True,True,4,6
713,1228.2,284.0,False,False,True,True,4,4
714,1230.0,389.0,False,False,True,True,5,82
715,1189.4,237.0,False,False,True,True,3,4
716,1170.5,223.0,False,False,True,True,3,20
718,1257.7,364.0,False,False,True,True,4,58
719,1256.8,393.0,False,False,True,True,4,10
720,1294.2,339.0,False,False,False,True,3,3
721,1333.4,357.0,False,False,True,True,5,19
722,1240.6,388.0,False,False,True,True,4,13
723,1197.5,311.0,False,False,True,True,4,14
724,1230.0,389.0,False,False,True,True,5,82
725,1130.5,306.0,False,False,True,True,4,30
726,1167.6,291.0,False,False,True,True,3,9
728,1143.0,347.0,True,False,False,True,5,18
729,1215.2,360.0,False,False,True,True,4,47
730,1156.6,323.0,False,False,True,True,5,30
731,1149.5,364.0,False,False,True,True,4,66
732,1132.0,313.0,False,False,True,True,4,33
733,1139.3,303.0,False,False,True,True,4,46
734,1183.7,373.0,False,False,True,True,4,38
735,1143.8,313.0,False,False,True,True,4,25
736,1143.6,314.0,False,False,True,True,3,10
737,1232.3,285.0,False,False,True,True,4,13
738,1124.4,293.0,False,False,True,True,5,16
739,1002.0,272.0,False,False,True,True,4,6
740,988.4,265.0,False,False,True,True,4,15
741,1184.8,320.0,True,True,False,True,5,10
742,1132.6,300.0,False,False,True,True,3,17
743,1067.7,371.0,False,False,True,True,4,23
744,1038.5,331.0,False,False,True,True,4,17
745,1047.3,329.0,False,False,True,True,4,18
746,1059.3,376.0,False,False,True,True,5,27
747,976.7,230.0,False,False,True,True,3,5
748,992.4,287.0,False,False,True,True,4,8
749,1015.0,322.0,True,False,True,True,6,24
750,1035.9,348.0,False,False,True,True,4,22
751,1010.8,244.0,False,False,True,True,3,2
752,961.1,249.0,False,False,True,True,3,27
753,1054.1,277.0,False,False,True,True,4,23
754,1182.4,316.0,True,False,True,True,4,8
755,1135.0,309.0,True,False,False,True,3,10
756,1090.8,303.0,False,False,True,True,3,59
757,1102.6,337.0,False,False,True,True,3,79
758,1113.1,271.0,True,False,False,True,3,8
759,1119.4,403.0,False,False,False,True,5,25
760,1074.4,294.0,True,False,True,True,4,50
761,1234.4,470.0,True,False,True,True,5,20
762,1168.5,261.0,False,False,True,True,4,10
763,1195.5,393.0,False,False,True,True,4,7
764,1238.7,341.0,False,False,True,True,3,9
765,1218.0,341.0,False,False,True,True,3,20
766,110.8,101.0,True,False,False,False,0,8
767,1222.9,335.0,False,False,True,True,3,23
768,1332.0,327.0,False,False,True,True,4,3
769,1185.0,322.0,False,False,True,True,3,81
770,1213.1,280.0,False,True,True,True,4,5
771,1192.1,367.0,False,False,True,True,4,7
772,1179.8,365.0,True,False,True,True,4,38
773,1140.1,222.0,False,False,True,True,3,11
774,1203.7,323.0,False,False,True,True,4,12
775,1209.5,382.0,False,False,True,True,4,53
776,1565.4,922.0,False,True,True,False,4,73
777,1493.8,322.0,False,False,True,True,3,63
778,1203.4,322.0,True,False,True,True,4,20
779,1179.9,282.0,False,False,True,True,3,15
780,1195.0,323.0,False,False,True,True,4,43
781,1718.1,313.0,False,False,True,True,3,7
782,1728.3,342.0,False,False,True,True,3,41
783,2207.2,338.0,False,False,True,True,3,6
784,1720.9,329.0,False,False,True,True,3,26
785,1783.1,389.0,False,False,True,True,3,21
786,1718.8,341.0,False,False,True,True,4,27
787,1736.4,329.0,False,False,True,True,3,14
788,1718.1,342.0,False,False,True,True,4,21
789,1741.2,404.0,False,False,True,True,4,71
790,2044.9,323.0,False,False,True,True,3,8
791,1728.4,382.0,False,False,True,True,4,47
